nid	v	maxdeg	max_ratio	argmax_alpha
v14CCCACCACACAACCACACAACAAE	14	6	2.437991529619638e-07	2.1000000000000014
v14CCCACCACACACACACACAACAAE	14	6	5.8299717130889055e-08	43.466993469328585
v14CCCACCACACACACACACACAAAE	14	6	5.849917211379677e-08	43.466993469328585
v14CCCACCACACACACACACACAABE	14	6	8.182004580230015e-08	49.112965600533286
v14CCCACCACACACACCAACACAAAE	14	6	8.48282598580122e-08	55.27909663310495
v14CCCACCACACACACCAACACAABE	14	6	7.831296492496421e-08	43.466993469328585
v14CCCACCACACACACCACACADEAE	14	6	1.5270339986311247e-07	43.466993469328585
v14CCCACCACACACACCACACADEBE	14	6	8.223368871597616e-08	55.27909663310495
v14CCCACCACACCACAACACAACAAE	14	6	7.304591572085704e-08	43.466993469328585
v14CCCACCACACCACACAACAACAAE	14	6	6.114970193344216e-08	43.466993469328585
v14CCCACCACACCACACAACACAAAE	14	6	5.1480676089347847e-08	43.466993469328585
v14CCCACCACACCACACACAAACAAE	14	6	1.3451660755155775e-07	21.872676300000002
v14CCCACCACACCACACACAABCAAE	14	6	8.288381903238475e-08	43.466993469328585
v14CCCACCACACCACACACAACAAAE	14	6	1.506740847046042e-07	21.872676300000002
v14CCCACCACACCACACACAACDEAE	14	6	1.8164558728822932e-07	21.872676300000002
v14CCCACCACACCACACACACAAAAE	14	6	8.348270867396611e-08	43.466993469328585
v14CCCACCACACCACACACACAAABE	14	6	7.192555727892905e-08	55.27909663310495
v14CCCACCACACCACACACACAADEE	14	6	8.222899585132441e-08	43.466993469328585
v14CCCACCACACCACACCAACAAAAE	14	6	8.560112999445655e-08	43.466993469328585
v14CCCACCACACCACACCAACAADEE	14	6	1.1182523831991867e-07	49.112965600533286
v14CCCACCACCACACAACACCAABAE	14	6	1.235042790166227e-07	21.872676300000002
v14CCCACCACCACACACAACAACAAE	14	6	7.220187425394861e-08	43.466993469328585
v14CCCACCACCACACACAACACAABE	14	6	1.0135721113604218e-07	21.872676300000002
v14CCCACCACCACACACAACCAAABE	14	6	8.242805758358411e-08	21.872676300000002
v14CCCACCACCACACACACAACAAAE	14	6	1.7517005823334392e-07	2.1000000000000014
v14CCCACCACCACACACACAACAABE	14	6	1.9723311314446307e-07	21.872676300000002
v14CCCACCACCACACACACAACADEE	14	6	1.4016520598229637e-07	21.872676300000002
v14CCCACCACCACCACAACACDEAAE	14	6	1.6114157809150887e-07	43.466993469328585
v14CCCACCACCACCACACAACAADEE	14	6	9.202274704981828e-08	43.466993469328585
v14CCCACCACCACCACACAACDEDEE	14	6	1.5075139523790773e-07	43.466993469328585
v14CCCACCACCACCACACACAAADEE	14	6	2.186171544712054e-07	43.466993469328585
v14CCCACCCACCACCACAACDEDEBE	14	6	1.0941928298127605e-07	2.1000000000000014
v14CCCCACCACACACACACAACAAAE	14	6	6.180259110902758e-08	55.27909663310495
v15CCCACAACCACAACCACAACCACAAE	15	6	5.203177629954003e-06	2.1000000000000014
v15CCCACACACACACACACACACACAAE	15	6	8.042841012909162e-08	43.466993469328585
v15CCCACACACCAACACACCAACACAAE	15	6	1.9374033958715614e-07	43.466993469328585
v15CCCACACCACCACACACCACAABABE	15	6	2.541438282062664e-07	49.112965600533286
v15CCCACCACACCACACCAACACDEABE	15	6	1.3301130716305855e-07	43.466993469328585
v15CCCCACCACACACACACACAACAAAE	15	6	6.682573678786374e-08	43.466993469328585
v16CCACCCACCACACCABCACABCACABAE	16	6	7.974013521972985e-08	21.872676300000002
v16CCCACACACACACACACACACACACAAE	16	6	1.0462545056129042e-07	43.466993469328585
v16CCCACACACCAACACACCAACACACAAE	16	6	1.7375658032837132e-07	43.466993469328585
v16CCCACACCAACACACCAACACACCAABE	16	6	6.846690570620543e-08	55.27909663310495
v16CCCACCACACCACACACAACACAACAAE	16	6	2.8137599278407374e-07	21.872676300000002
v16CCCACCACCACCACACCACAACAADEBE	16	6	1.7977671171429187e-07	43.466993469328585
v16CCCCACCACACACACACACACAACAAAE	16	6	6.528698132457742e-08	55.27909663310495
v16CCCCACCACACCACACACACAACAAAAE	16	6	7.878340832464582e-08	43.466993469328585
v17CCACCACAACCACAACCACAACCACAACAE	17	6	1.4202798219237745e-06	2.1000000000000014
v17CCCACACACACACACACACACACACACAAE	17	6	1.270939318501811e-07	43.466993469328585
v17CCCACACACCAACACACCAACACACCAABE	17	6	2.4088335546145637e-07	43.466993469328585
v17CCCACCACACACACCACACACACACADEAE	17	6	2.572023232981085e-07	21.872676300000002
v17CCCACCACACCACACAACACCACACAAABE	17	6	8.209136791793896e-08	21.872676300000002
v17CCCACCACCACCACACACACAACAAACAAE	17	6	1.431339316365705e-07	43.466993469328585
v17CCCACCCACCACCACAACCAACAACAAAAE	17	6	1.3437070566753067e-07	43.466993469328585
v17CCCACCCACCACCACAACCAACDECAAAAE	17	6	1.1806808457205573e-07	2.1000000000000014
v17CCCCACCACACACAACCACACACAACAAAE	17	6	1.1303381739998913e-07	43.466993469328585
v17CCCCACCACACACACACACACACAACAAAE	17	6	7.185293425147683e-08	55.27909663310495
v17CCCCACCACACACCACACACACAACAAAAE	17	6	7.71080886354469e-08	55.27909663310495
v18CCCACACACACACACACACACACACACACAAE	18	6	1.453858642322401e-07	43.466993469328585
v18CCCACACACCAACACACCAACACACCAACAAE	18	6	3.185454084130694e-07	21.872676300000002
v18CCCACACACCACACAACCACACAACACACAAE	18	6	1.8614032517558835e-07	21.872676300000002
v18CCCACACACCACACAACCACACAACCAACAAE	18	6	1.3811311216514294e-07	21.872676300000002
v18CCCACACACCACACACACACACAACACACAAE	18	6	6.90172521856904e-08	21.872676300000002
v18CCCACACCACCACACACCACAACADECACAAE	18	6	5.322018909394793e-07	21.872676300000002
v18CCCACCACACCACACAACACCACACAACAAAE	18	6	8.42859032733437e-08	55.27909663310495
v18CCCACCACACCACACCAACACCAACACDEABE	18	6	1.6460330798815378e-07	55.27909663310495
v18CCCACCACACCACACCACACACAACACADEAE	18	6	4.7335201814831473e-07	21.872676300000002
v18CCCACCACCACCACACACACAACCAAACAAAE	18	6	1.6616227769368285e-07	21.872676300000002
v18CCCACCCACCACCACAACCAACACACAAABBE	18	6	4.842480803933161e-07	21.872676300000002
v18CCCACCCACCACCACAACCACAACAACAABBE	18	6	6.537528475901999e-07	2.1000000000000014
v18CCCACCCACCACCACACACAACAACAAACAAE	18	6	1.7023854434463516e-07	43.466993469328585
v18CCCACCCACCACCACACCAACAACAADECAAE	18	6	6.537528475901999e-07	2.1000000000000014
v18CCCCACCACACACACACACACACACAACAAAE	18	6	1.041675328041399e-07	55.27909663310495
v18CCCCACCACACACACACCAACACACAACAAAE	18	6	1.0960349744988887e-07	55.27909663310495
v18CCCCACCACACACACACCACAACACAACAAAE	18	6	1.7089868549280514e-07	43.466993469328585
v18CCCCACCACACACCACACACACAACAACAAAE	18	6	7.48998666642276e-08	55.27909663310495
v18CCCCACCACACACCACACACACAACACAAABE	18	6	7.439753002674715e-08	49.112965600533286
v18CCCCACCACACCACACACACAACACAACAAAE	18	6	1.4032041910755904e-07	43.466993469328585
v19CCCACACACACACACACACACACACACACACAAE	19	6	1.5953420650827028e-07	43.466993469328585
v19CCCACACACCAACACACCAACACACCAACACAAE	19	6	3.583701876104008e-07	43.466993469328585
v19CCCACACACCACACAACCACACAACCACACAAAE	19	6	2.89357094069359e-07	21.872676300000002
v19CCCACACACCACACACACACACACAACACACAAE	19	6	3.57785114019005e-07	21.872676300000002
v19CCCACACACCACACACACACACACACAACACAAE	19	6	1.0329141140425589e-07	21.872676300000002
v19CCCACACACCACACACACACACACACACACAAAE	19	6	1.1440531557677084e-07	21.872676300000002
v19CCCACACCACACACACACACACACACAACACAAE	19	6	1.733116650448643e-07	43.466993469328585
v19CCCACACCACACACACCAACACACACAACACAAE	19	6	2.3170564558658512e-07	21.872676300000002
v19CCCACACCACACACACCAACACACACCAACADEE	19	6	2.7101450686150835e-07	21.872676300000002
v19CCCACACCACCACACACACACCACAACAACAABE	19	6	3.566063818701645e-07	55.27909663310495
v19CCCACCACACCACACAACACCACACAACACAAAE	19	6	8.212582370279373e-08	55.27909663310495
v19CCCACCACACCACACACACACCACAACACAAABE	19	6	2.4339718580420905e-07	21.872676300000002
v19CCCACCACCACACACCACACCACACACAADEDEE	19	6	2.638124325464267e-07	21.872676300000002
v19CCCACCACCACCACACACACACACCAAACAADEE	19	6	2.0112665550172932e-07	43.466993469328585
v19CCCACCCACCACCACACACACAACAACAACAAAE	19	6	6.537528475901999e-07	2.1000000000000014
v19CCCCACCACACACACACACACACACACAACAAAE	19	6	1.4649076190862152e-07	21.872676300000002
v19CCCCACCACACACACACCACACACACAACAAAAE	19	6	1.1595509119538545e-07	43.466993469328585
v19CCCCACCACACACCACACACACAACACAACAAAE	19	6	1.0698841463875596e-07	55.27909663310495
v19CCCCACCACACACCACACACACACACAAACAAAE	19	6	8.389803621309799e-08	55.27909663310495
v19CCCCACCACACCACACACACACACAACAACAAAE	19	6	1.0543924056872557e-07	49.112965600533286
v19CCCCACCACACCACACACACACACAACACAAABE	19	6	1.0586841953958707e-07	55.27909663310495
v20CCACCCACCACACCACCACACCACACABCADEADEE	20	6	2.7608918079186794e-07	21.872676300000002
v20CCCACACACACACACACACACACACACACACACAAE	20	6	2.2774554329459638e-07	43.466993469328585
v20CCCACACACCAACACACCAACACACCAACACACAAE	20	6	4.300275090862839e-07	21.872676300000002
v20CCCACACACCACACACACACACACACACACACAAAE	20	6	1.4566299828326552e-07	21.872676300000002
