nid	v	max_rel	argmax_alpha	hero_abs	nrungs
v14CCCACCACCACACACACAACAAAE	14	2.8877732233970653e-08	43.466993469328585	2.220446049250313e-16	10
v14CCCACCACCACACACACAACAABE	14	8.189796491507906e-08	21.872676300000002	4.440892098500626e-16	10
v14CCCACCACCACACACACAACADEE	14	4.191171090689353e-08	21.872676300000002	7.771561172376096e-16	10
v14CCCACCACCACCACAACACDEAAE	14	3.20056353629808e-08	43.466993469328585	4.440892098500626e-16	10
v14CCCACCACCACCACACAACAADEE	14	6.303289490261561e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCACCACCACCACACAACDEDEE	14	4.914972692273692e-08	43.466993469328585	4.440892098500626e-16	10
v14CCCACCACCACCACACACAAADEE	14	8.922381664399576e-08	43.466993469328585	8.881784197001252e-16	10
v14CCCACCCACCACCACAACDEDEBE	14	2.682065307688409e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCCACCACACACACACAACAAAE	14	4.196079471900499e-08	55.27909663310495	2.220446049250313e-16	10
v152h166d825fa3770887	152	0.6188721913564547	2.1000000000000014	1.0658141036401503e-14	1
v152hcdb06f26767a9fee	152	0.6045378329093284	2.1000000000000014	6.217248937900877e-15	1
v152he09dd528bd007438	152	0.5805692238983288	2.1000000000000014	5.329070518200751e-15	1
v15CCCACAACCACAACCACAACCACAAE	15	2.5301115261412615e-08	2.1000000000000014	4.440892098500626e-16	10
v15CCCACACACACACACACACACACAAE	15	2.8086483459495068e-08	55.27909663310495	4.440892098500626e-16	10
v15CCCACACACCAACACACCAACACAAE	15	7.127618435806792e-08	43.466993469328585	3.3306690738754696e-16	10
v15CCCACACCACCACACACCACAABABE	15	7.466146213560746e-08	43.466993469328585	5.551115123125783e-16	10
v15CCCACCACACCACACCAACACDEABE	15	8.909564255977926e-08	43.466993469328585	3.3306690738754696e-16	10
v15CCCCACCACACACACACACAACAAAE	15	4.3137803419380053e-08	55.27909663310495	4.440892098500626e-16	10
v162h9b09eec5168e9243	162	0.5251743533832618	2.1000000000000014	4.440892098500626e-15	1
v164h1268c85b083401b2	164	0.649235586238237	2.1000000000000014	2.886579864025407e-15	1
v164h269ae2cb791779bd	164	0.08579553943241588	2.1000000000000014	9.325873406851315e-15	1
v164h64e816f04127fc46	164	0.4067721314068589	2.1000000000000014	6.8833827526759706e-15	1
v164he26c84ccf7059402	164	0.37239027377674633	2.1000000000000014	7.66053886991358e-15	1
v164he3e705f0721b3784	164	0.5208981273724167	2.1000000000000014	1.0880185641326534e-14	1
v16CCACCCACCACACCABCACABCACABAE	16	3.4134753589353784e-08	43.466993469328585	3.3306690738754696e-16	10
v16CCCACACACACACACACACACACACAAE	16	4.7167931153944616e-08	43.466993469328585	6.661338147750939e-16	10
v16CCCACACACCAACACACCAACACACAAE	16	7.25818900816122e-08	43.466993469328585	5.551115123125783e-16	10
v16CCCACACCAACACACCAACACACCAABE	16	1.943871198248053e-08	55.27909663310495	6.661338147750939e-16	10
v16CCCACCACACCACACACAACACAACAAE	16	6.945065969082285e-08	21.872676300000002	3.3306690738754696e-16	10
v16CCCACCACCACCACACCACAACAADEBE	16	6.445177744049907e-08	21.872676300000002	4.440892098500626e-16	10
v16CCCCACCACACACACACACACAACAAAE	16	4.064489594556373e-08	55.27909663310495	4.440892098500626e-16	10
v16CCCCACCACACCACACACACAACAAAAE	16	4.781228416336321e-08	43.466993469328585	2.220446049250313e-16	10
v177h9a146be2ce10951e	177	0.4167797743505339	2.1000000000000014	7.771561172376096e-15	1
v17CCACCACAACCACAACCACAACCACAACAE	17	6.661075131710246e-08	2.1000000000000014	5.551115123125783e-16	10
v17CCCACACACACACACACACACACACACAAE	17	5.202725861786923e-08	43.466993469328585	8.881784197001252e-16	10
v17CCCACACACCAACACACCAACACACCAABE	17	1.3599404136349223e-07	43.466993469328585	5.551115123125783e-16	10
v17CCCACCACACACACCACACACACACADEAE	17	5.7291964720734044e-08	55.27909663310495	5.551115123125783e-16	10
v17CCCACCACACCACACAACACCACACAAABE	17	3.242795212292594e-08	55.27909663310495	8.881784197001252e-16	10
v17CCCACCACCACCACACACACAACAAACAAE	17	5.786702645309742e-08	43.466993469328585	8.881784197001252e-16	10
v17CCCACCCACCACCACAACCAACAACAAAAE	17	7.754678651676227e-08	55.27909663310495	7.771561172376096e-16	10
v17CCCACCCACCACCACAACCAACDECAAAAE	17	7.532821932407359e-08	55.27909663310495	6.661338147750939e-16	10
v17CCCCACCACACACAACCACACACAACAAAE	17	4.125771507215371e-08	43.466993469328585	4.440892098500626e-16	10
v17CCCCACCACACACACACACACACAACAAAE	17	4.9358814859603855e-08	55.27909663310495	4.440892098500626e-16	10
v17CCCCACCACACACCACACACACAACAAAAE	17	4.155531227550577e-08	55.27909663310495	7.771561172376096e-16	10
v182h4d83f7c1fdef10d3	182	0.5460973878363705	2.1000000000000014	6.8833827526759706e-15	1
v18CCCACACACACACACACACACACACACACAAE	18	6.806566082908738e-08	43.466993469328585	5.551115123125783e-16	10
v18CCCACACACCAACACACCAACACACCAACAAE	18	1.099700569986031e-07	43.466993469328585	4.440892098500626e-16	10
v18CCCACACACCACACAACCACACAACACACAAE	18	4.574052507224308e-08	21.872676300000002	6.661338147750939e-16	10
v18CCCACACACCACACAACCACACAACCAACAAE	18	3.360780109135463e-08	21.872676300000002	6.661338147750939e-16	10
v18CCCACACACCACACACACACACAACACACAAE	18	2.521414689390948e-08	55.27909663310495	7.771561172376096e-16	10
v18CCCACACCACCACACACCACAACADECACAAE	18	1.5146657867820583e-07	21.872676300000002	5.551115123125783e-16	10
v18CCCACCACACCACACAACACCACACAACAAAE	18	3.7034959739959986e-08	49.112965600533286	5.551115123125783e-16	10
v18CCCACCACACCACACCAACACCAACACDEABE	18	9.711686740831533e-08	55.27909663310495	4.440892098500626e-16	10
v18CCCACCACACCACACCACACACAACACADEAE	18	1.22183201745276e-07	21.872676300000002	7.771561172376096e-16	10
v18CCCACCACCACCACACACACAACCAAACAAAE	18	5.920898245306579e-08	55.27909663310495	5.551115123125783e-16	10
v18CCCACCCACCACCACAACCAACACACAAABBE	18	1.7546781118598064e-07	21.872676300000002	7.771561172376096e-16	10
v18CCCACCCACCACCACAACCACAACAACAABBE	18	6.878883603034706e-08	43.466993469328585	1.1102230246251565e-15	10
v18CCCACCCACCACCACACACAACAACAAACAAE	18	8.297637138424706e-08	55.27909663310495	4.440892098500626e-16	10
v18CCCACCCACCACCACACCAACAACAADECAAE	18	6.709768600807917e-08	43.466993469328585	6.661338147750939e-16	10
v18CCCCACCACACACACACACACACACAACAAAE	18	4.4063286154098415e-08	55.27909663310495	8.881784197001252e-16	10
v18CCCCACCACACACACACCAACACACAACAAAE	18	5.79204388774976e-08	55.27909663310495	3.3306690738754696e-16	10
v18CCCCACCACACACACACCACAACACAACAAAE	18	7.383185099601844e-08	55.27909663310495	1.4432899320127035e-15	10
v18CCCCACCACACACCACACACACAACAACAAAE	18	5.1702899735129606e-08	55.27909663310495	6.661338147750939e-16	10
v18CCCCACCACACACCACACACACAACACAAABE	18	5.3666624030408806e-08	55.27909663310495	8.881784197001252e-16	10
v18CCCCACCACACCACACACACAACACAACAAAE	18	6.011051487275775e-08	55.27909663310495	8.881784197001252e-16	10
v191h0993a492513773bc	191	0.8040208218240624	2.1000000000000014	7.327471962526033e-15	1
v192ha3f3647a75529d93	192	0.6242073748598674	2.1000000000000014	8.43769498715119e-15	1
v19CCCACACACACACACACACACACACACACACAAE	19	5.6445810156729094e-08	43.466993469328585	5.551115123125783e-16	10
v19CCCACACACCAACACACCAACACACCAACACAAE	19	1.5619366954630459e-07	43.466993469328585	4.440892098500626e-16	10
v19CCCACACACCACACAACCACACAACCACACAAAE	19	6.517072874006701e-08	21.872676300000002	6.661338147750939e-16	10
v19CCCACACACCACACACACACACACAACACACAAE	19	9.39815467320194e-08	21.872676300000002	6.661338147750939e-16	10
v19CCCACACACCACACACACACACACACAACACAAE	19	2.9038983750528062e-08	55.27909663310495	1.2212453270876722e-15	10
v19CCCACACACCACACACACACACACACACACAAAE	19	4.782274603093886e-08	55.27909663310495	8.881784197001252e-16	10
